34.5,3.0608,34.5,3.3778
34.75,3.1701,34.75,3.3808
35,3.1124,35,3.3838
35.25,3.0168,35.25,3.3866
35.5,3.5414,35.5,3.3895
35.75,3.0678,35.75,3.3922
36,3.3965,36,3.3949
36.25,2.9435,36.25,3.3975
36.5,3.1682,36.5,3.4
36.75,3.2547,36.75,3.4025
37,3.0084,37,3.4049
37.25,3.5643,37.25,3.4073
37.5,3.594,37.5,3.4096
37.75,3.3539,37.75,3.4119
38,3.3227,38,3.4141
38.25,3.3995,38.25,3.4163
38.5,3.3153,38.5,3.4184
38.75,3.3257,38.75,3.4204
39,3.4349,39,3.4224
39.25,3.3343,39.25,3.4244
39.5,3.4546,39.5,3.4263
39.75,3.4315,39.75,3.4281
40,3.2596,40,3.43
40.25,3.3396,40.25,3.4317
40.5,3.3998,40.5,3.4335
40.75,3.3205,40.75,3.4352
41,3.4371,41,3.4368
41.25,3.2438,41.25,3.4384
41.5,3.4875,41.5,3.44
41.75,3.5998,41.75,3.4416
42,3.748,42,3.4431
42.25,2.9237,42.25,3.4445
42.5,3.6349,42.5,3.446
42.75,3.4965,42.75,3.4474
43,3.6183,43,3.4487
43.25,3.5916,43.25,3.45
43.5,3.6155,43.5,3.4513
43.75,4.2688,43.75,3.4526
44,3.5976,44,3.4539
44.25,3.435,44.25,3.4551
44.5,3.5792,44.5,3.4562
44.75,3.6432,44.75,3.4574
45,3.6829,45,3.4585
45.25,3.665,45.25,3.4596
45.5,3.7865,45.5,3.4607
45.75,3.6544,45.75,3.4617
46,3.1749,46,3.4628
46.25,3.7651,46.25,3.4638
46.5,3.5502,46.5,3.4647
46.75,2.9988,46.75,3.4657
47,3.8184,47,3.4666
